threads,implementation,input,contains-cycle,time-to-finish,is_DAS
,1_naive,"bintree-cycle-min
",True,11514,True
,1_naive,"bintree-cycle-min
",True,11514,True
,1_naive,"bintree-cycle-min
",True,11514,True
,1_naive,"bintree-cycle-min
",True,11514,True
,1_naive,"bintree-cycle-min
",True,11679,True
,1_naive,"bintree-cycle-min
",True,11679,True
,1_naive,"bintree-cycle-min
",True,11679,True
2,1_naive,"bintree-cycle-max
",True,11679,True
,1_naive,"bintree-cycle-max
",True,11679,True
,1_naive,"bintree-cycle-max
",True,11679,True
,1_naive,"bintree-cycle-max
",True,11679,True
,1_naive,"bintree-cycle-max
",True,11679,True
,1_naive,"bintree-cycle-max
",True,9,True
2,1_naive,"bintree-cycle-max
",True,9,True
,1_naive,"bintree-cycle-max
",True,9,True
,1_naive,"bintree-cycle-max
",True,9,True
,1_naive,"bintree-cycle-max
",True,9,True
,1_naive,"bintree-cycle-max
",True,9,True
,1_naive,"bintree-cycle-max
",True,8,True
2,1_naive,"bintree-cycle-max
",True,8,True
,1_naive,"bintree-cycle-max
",True,8,True
,1_naive,"bintree-cycle-max
",True,8,True
,1_naive,"bintree-cycle-max
",True,8,True
,1_naive,"bintree-cycle-max
",True,8,True
,1_naive,"bintree-cycle-max
",True,8,True
2,1_naive,"bintree-cycle-max
",True,8,True
,1_naive,"bintree-cycle-max
",True,8,True
,1_naive,"bintree-cycle-max
",True,8,True
,1_naive,"bintree-cycle-max
",True,8,True
,1_naive,"bintree-cycle-max
",True,8,True
,1_naive,"bintree-cycle-max
",True,9,True
2,1_naive,"bintree-cycle-max
",True,9,True
,1_naive,"bintree-cycle-max
",True,9,True
,1_naive,"bintree-cycle-max
",True,9,True
,1_naive,"bintree-cycle-max
",True,9,True
,1_naive,"bintree-cycle-max
",True,9,True
,1_naive,"bintree-cycle-max
",True,9,True
,1_naive,"bintree-cycle-max
",True,9,True
,1_naive,"bintree-cycle-max
",True,9,True
2,1_naive,"bintree-converge
",True,9,True
,1_naive,"bintree-converge
",True,9,True
,1_naive,"bintree-converge
",True,9,True
,1_naive,"bintree-converge
",True,9,True
,1_naive,"bintree-converge
",True,10498,True
2,1_naive,"bintree-converge
",True,10498,True
,1_naive,"bintree-converge
",True,10498,True
,1_naive,"bintree-converge
",True,10498,True
,1_naive,"bintree-converge
",True,10498,True
,1_naive,"bintree-converge
",True,10741,True
2,1_naive,"bintree-converge
",True,10741,True
,1_naive,"bintree-converge
",True,10741,True
,1_naive,"bintree-converge
",True,10741,True
,1_naive,"bintree-converge
",True,10741,True
,1_naive,"bintree-converge
",True,11292,True
2,1_naive,"bintree-converge
",True,11292,True
,1_naive,"bintree-converge
",True,11292,True
,1_naive,"bintree-converge
",True,11292,True
,1_naive,"bintree-converge
",True,11292,True
,1_naive,"bintree-converge
",True,10531,True
2,1_naive,"bintree-converge
",True,10531,True
,1_naive,"bintree-converge
",True,10531,True
,1_naive,"bintree-converge
",True,10531,True
,1_naive,"bintree-converge
",True,10531,True
,1_naive,"bintree-converge
",True,10570,True
,1_naive,"bintree-converge
",True,10570,True
,1_naive,"bintree-converge
",True,10570,True
2,1_naive,"accept-cycle
",True,10570,True
,1_naive,"accept-cycle
",True,10570,True
,1_naive,"accept-cycle
",True,10570,True
,1_naive,"accept-cycle
",True,10570,True
,1_naive,"accept-cycle
",True,10570,True
,1_naive,"accept-cycle
",True,8,True
2,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
2,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
2,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
2,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
4,1_naive,"simple-loop
",True,8,True
,1_naive,"simple-loop
",True,8,True
,1_naive,"simple-loop
",True,8,True
,1_naive,"simple-loop
",True,8,True
,1_naive,"simple-loop
",True,8,True
4,1_naive,"simple-loop
",True,8,True
,1_naive,"simple-loop
",True,8,True
,1_naive,"simple-loop
",True,8,True
,1_naive,"simple-loop
",True,8,True
,1_naive,"simple-loop
",True,8,True
4,1_naive,"simple-loop
",True,8,True
,1_naive,"simple-loop
",True,8,True
,1_naive,"simple-loop
",True,8,True
,1_naive,"simple-loop
",True,8,True
,1_naive,"simple-loop
",True,9,True
4,1_naive,"simple-loop
",True,9,True
,1_naive,"simple-loop
",True,9,True
,1_naive,"simple-loop
",True,9,True
,1_naive,"simple-loop
",True,9,True
,1_naive,"simple-loop
",True,8,True
4,1_naive,"simple-loop
",True,8,True
,1_naive,"simple-loop
",True,8,True
,1_naive,"simple-loop
",True,8,True
,1_naive,"simple-loop
",True,8,True
,1_naive,"simple-loop
",True,8,True
,1_naive,"simple-loop
",True,8,True
,1_naive,"simple-loop
",True,8,True
4,1_naive,"bintree
",True,8,True
,1_naive,"bintree
",True,8,True
,1_naive,"bintree
",True,8,True
,1_naive,"bintree
",True,8,True
,1_naive,"bintree
",True,10356,True
4,1_naive,"bintree
",True,10356,True
,1_naive,"bintree
",True,10356,True
,1_naive,"bintree
",True,10356,True
,1_naive,"bintree
",True,10356,True
,1_naive,"bintree
",True,10804,True
4,1_naive,"bintree
",True,10804,True
,1_naive,"bintree
",True,10804,True
,1_naive,"bintree
",True,10804,True
,1_naive,"bintree
",True,10804,True
,1_naive,"bintree
",True,11448,True
4,1_naive,"bintree
",True,11448,True
,1_naive,"bintree
",True,11448,True
,1_naive,"bintree
",True,11448,True
,1_naive,"bintree
",True,11448,True
,1_naive,"bintree
",True,10467,True
4,1_naive,"bintree
",True,10467,True
,1_naive,"bintree
",True,10467,True
,1_naive,"bintree
",True,10467,True
,1_naive,"bintree
",True,10467,True
,1_naive,"bintree
",True,10522,True
,1_naive,"bintree
",True,10522,True
,1_naive,"bintree
",True,10522,True
4,1_naive,"bintree-loop
",True,10522,True
,1_naive,"bintree-loop
",True,10522,True
,1_naive,"bintree-loop
",True,10522,True
,1_naive,"bintree-loop
",True,10522,True
,1_naive,"bintree-loop
",True,11330,True
4,1_naive,"bintree-loop
",True,11330,True
,1_naive,"bintree-loop
",True,11330,True
,1_naive,"bintree-loop
",True,11330,True
,1_naive,"bintree-loop
",True,11330,True
,1_naive,"bintree-loop
",True,10825,True
4,1_naive,"bintree-loop
",True,10825,True
,1_naive,"bintree-loop
",True,10825,True
,1_naive,"bintree-loop
",True,10825,True
,1_naive,"bintree-loop
",True,10825,True
,1_naive,"bintree-loop
",True,10837,True
4,1_naive,"bintree-loop
",True,10837,True
,1_naive,"bintree-loop
",True,10837,True
,1_naive,"bintree-loop
",True,10837,True
,1_naive,"bintree-loop
",True,10837,True
,1_naive,"bintree-loop
",True,11301,True
4,1_naive,"bintree-loop
",True,11301,True
,1_naive,"bintree-loop
",True,11301,True
,1_naive,"bintree-loop
",True,11301,True
,1_naive,"bintree-loop
",True,11301,True
,1_naive,"bintree-loop
",True,10773,True
,1_naive,"bintree-loop
",True,10773,True
,1_naive,"bintree-loop
",True,10773,True
4,1_naive,"bintree-cycle
",True,10773,True
,1_naive,"bintree-cycle
",True,10773,True
,1_naive,"bintree-cycle
",True,10773,True
,1_naive,"bintree-cycle
",True,10773,True
,1_naive,"bintree-cycle
",True,10773,True
,1_naive,"bintree-cycle
",True,8,True
4,1_naive,"bintree-cycle
",True,8,True
,1_naive,"bintree-cycle
",True,8,True
,1_naive,"bintree-cycle
",True,8,True
,1_naive,"bintree-cycle
",True,8,True
,1_naive,"bintree-cycle
",True,8,True
,1_naive,"bintree-cycle
",True,9,True
4,1_naive,"bintree-cycle
",True,9,True
,1_naive,"bintree-cycle
",True,9,True
,1_naive,"bintree-cycle
",True,9,True
,1_naive,"bintree-cycle
",True,9,True
,1_naive,"bintree-cycle
",True,9,True
,1_naive,"bintree-cycle
",True,10,True
4,1_naive,"bintree-cycle
",True,10,True
